Date,Low,Open,Volume,High,Close,Adjusted Close,Stock_Return,Unnamed: 0,GDP,GDP Growth,CPI,Core CPI,PPI,Unemployment Rate,Labor Force Participation Rate,Fed Funds Rate,10Y Treasury Yield,Money Supply (M2),Consumer Confidence,Housing Starts,Home Price Index,S&P 500 Index,VIX (Volatility Index),Corporate Bond Yield,Oil Prices (WTI),Trade Balance,USD Index,Market_Return,Beta,Treynor_Ratio
28-08-2018,0.0610000006854534,0.0610000006854534,40400000.0,0.0640000030398368,0.0630000010132789,0.0630000010132789,0.0,4931,20294.26008695652,1.3021739130434782,252.1150322580645,258.30645161290323,203.5741935483871,3.712903225806452,62.774193548387096,1.94483870967742,2.88,14224.732258064516,99.59677419354838,1254.9032258064517,204.2248387096774,2897.52,12.5,1.9,68.54,-50433.32258064516,89.6156,0.0002692682118519141,-0.04283333469726112,67.23735194458617
29-08-2018,0.061999998986721,0.0640000030398368,10920000.0,0.0640000030398368,0.061999998986721,0.061999998986721,-0.015873047785302963,4932,20294.572260869565,1.2815217391304348,252.1317741935484,258.3218387096774,203.5806451612903,3.709677419354839,62.78064516129032,1.9461290322580644,2.89,14225.874193548389,99.72258064516129,1253.6774193548388,204.24612903225807,2914.04,12.25,1.88,69.68,-50465.74193548387,89.749,0.005701427427593275,-0.04283333469726112,67.84139195146794
30-08-2018,0.061999998986721,0.0640000030398368,22510000.0,0.0640000030398368,0.061999998986721,0.061999998986721,0.0,4933,20294.88443478261,1.2608695652173914,252.14851612903223,258.3372258064516,203.58709677419355,3.706451612903226,62.78709677419354,1.947419354838709,2.86,14227.016129032258,99.8483870967742,1252.451612903226,204.26741935483872,2901.13,13.53,1.9,70.25,-50498.16129032258,89.9322,-0.004430275493816138,-0.04283333469726112,66.77042588941543
31-08-2018,0.061999998986721,0.061999998986721,2400000.0,0.061999998986721,0.061999998986721,0.061999998986721,0.0,4934,20295.196608695653,1.2402173913043475,252.1652580645161,258.3526129032258,203.5935483870968,3.703225806451613,62.79354838709677,1.9487096774193549,2.86,14228.158064516128,99.97419354838708,1251.225806451613,204.2887096774193,2901.52,12.86,1.92,69.84,-50530.58064516129,90.2569,0.00013443037712890238,-0.04283333469726112,66.77042588941543
04-09-2018,0.0599999986588954,0.0630000010132789,15010000.0,0.0630000010132789,0.061999998986721,0.061999998986721,0.0,4937,20296.445304347824,1.1576086956521738,252.241,258.4229,203.7,3.71,62.81,1.974,2.9,14230.509999999998,99.95,1247.1,204.3866,2896.72,13.16,1.94,69.82,-50752.0,90.7166,-0.0004140901060071256,-0.04283333469726112,67.7042779997569
05-09-2018,0.061999998986721,0.061999998986721,2580000.0,0.0630000010132789,0.0630000010132789,0.0630000010132789,0.016129065208082993,4938,20296.757478260868,1.1369565217391304,252.26066666666665,258.4412,203.7333333333333,3.713333333333333,62.81333333333333,1.982,2.9,14230.913333333332,99.9,1246.1333333333334,204.4121333333333,2888.6,13.91,1.95,68.69,-50815.0,90.4994,-0.002803170482476691,-0.04283333469726112,67.3277239601968
06-09-2018,0.061999998986721,0.0630000010132789,23030000.0,0.0630000010132789,0.0630000010132789,0.0630000010132789,0.0,4939,20297.069652173912,1.116304347826087,252.2803333333333,258.4595,203.76666666666665,3.716666666666667,62.81666666666666,1.99,2.88,14231.316666666666,99.85,1245.1666666666667,204.43766666666667,2878.05,14.65,1.93,67.81,-50878.0,90.4163,-0.0036522883057535926,-0.04283333469726112,67.23735194458617
07-09-2018,0.061999998986721,0.061999998986721,6100000.0,0.0630000010132789,0.0630000010132789,0.0630000010132789,0.0,4940,20297.38182608696,1.0956521739130434,252.3,258.4778,203.8,3.72,62.82,1.998,2.94,14231.72,99.8,1244.2,204.4632,2871.68,14.88,1.93,67.73,-50941.0,90.5598,-0.0022133041469051262,-0.04283333469726112,68.63813011009837
10-09-2018,0.061999998986721,0.0630000010132789,16030000.0,0.0630000010132789,0.061999998986721,0.061999998986721,-0.015873047785302963,4941,20298.318347826087,1.033695652173913,252.359,258.5327,203.9,3.73,62.83,2.022,2.94,14232.93,99.65,1241.3,204.5398,2877.13,14.16,1.92,67.55,-51130.0,90.3999,0.001897843770893859,-0.04283333469726112,69.00870708939478
11-09-2018,0.061999998986721,0.061999998986721,45930000.0,0.0649999976158142,0.0640000030398368,0.0640000030398368,0.03225813041616599,4942,20298.63052173913,1.0130434782608695,252.37866666666665,258.551,203.9333333333333,3.733333333333333,62.83333333333333,2.03,2.98,14233.333333333332,99.6,1240.3333333333333,204.5653333333333,2887.89,13.22,1.9,69.29,-51193.0,90.451,0.0037398379635260603,-0.04283333469726112,68.81887414131968
12-09-2018,0.061999998986721,0.0640000030398368,39020000.0,0.0640000030398368,0.061999998986721,0.061999998986721,-0.03125006184563617,4943,20298.94269565217,0.992391304347826,252.3983333333333,258.5693,203.96666666666667,3.736666666666667,62.836666666666666,2.038,2.97,14233.736666666666,99.55,1239.3666666666666,204.59086666666667,2888.92,13.14,1.89,70.37,-51256.0,90.036,0.00035666178420923345,-0.04283333469726112,70.06809259792571
